Rank,Title,Theaters,Total Gross,Release Date,Distributor
1,Barbie,"4,337","$594,254,460",2023-07-21 00:00:00,Warner Bros.
2,The Super Mario Bros. Movie,"4,371","$574,759,600",2023-04-05 00:00:00,Universal Pictures
3,Spider-Man: Across the Spider-Verse,"4,332","$381,178,195",2023-06-02 00:00:00,Columbia Pictures
4,Guardians of the Galaxy Vol. 3,"4,450","$358,995,815",2023-05-05 00:00:00,Walt Disney Studios Motion Pictures
5,Oppenheimer,"3,761","$300,144,670",2023-07-21 00:00:00,Universal Pictures
6,The Little Mermaid,"4,320","$297,895,447",2023-05-26 00:00:00,Walt Disney Studios Motion Pictures
7,Avatar: The Way of Water,"4,340","$684,075,767",2023-12-16 00:00:00,20th Century Studios
8,Ant-Man and the Wasp: Quantumania,"4,345","$214,504,909",2023-02-17 00:00:00,Walt Disney Studios Motion Pictures
9,John Wick: Chapter 4,"3,855","$187,131,806",2023-03-24 00:00:00,Lionsgate
10,Sound of Freedom,"3,411","$180,587,629",2023-07-04 00:00:00,Angel Studios
11,Indiana Jones and the Dial of Destiny,"4,600","$174,116,627",2023-06-30 00:00:00,Walt Disney Studios Motion Pictures
12,Mission: Impossible - Dead Reckoning Part One,"4,327","$168,248,955",2023-07-12 00:00:00,Paramount Pictures
13,Transformers: Rise of the Beasts,"3,680","$157,066,392",2023-06-09 00:00:00,Paramount Pictures
14,Creed III,"4,007","$156,248,615",2023-03-03 00:00:00,United Artists Releasing
15,Elemental,"4,035","$151,692,473",2023-06-16 00:00:00,Walt Disney Studios Motion Pictures
16,Fast X,"4,088","$145,960,660",2023-05-19 00:00:00,Universal Pictures
17,Puss in Boots: The Last Wish,"4,121","$185,535,345",2023-12-21 00:00:00,Universal Pictures
18,Scream VI,"3,676","$108,161,389",2023-03-10 00:00:00,Paramount Pictures
19,The Flash,"4,256","$108,133,313",2023-06-16 00:00:00,Warner Bros.
20,Teenage Mutant Ninja Turtles: Mutant Mayhem,"3,950","$99,847,538",2023-08-02 00:00:00,Paramount Pictures
21,M3GAN,"3,628","$95,043,350",2023-01-06 00:00:00,Universal Pictures
22,Dungeons & Dragons: Honor Among Thieves,"3,856","$93,277,026",2023-03-31 00:00:00,Paramount Pictures
23,Insidious: The Red Door,"3,188","$82,042,800",2023-07-07 00:00:00,Screen Gems
24,Meg 2: The Trench,"3,604","$74,469,810",2023-08-04 00:00:00,Warner Bros.
25,Evil Dead Rise,"3,417","$67,233,054",2023-04-21 00:00:00,Warner Bros.
26,Cocaine Bear,"3,571","$64,388,510",2023-02-24 00:00:00,Universal Pictures
27,A Man Called Otto,"3,957","$64,267,657",2023-12-30 00:00:00,Columbia Pictures
28,Haunted Mansion,"3,740","$62,291,150",2023-07-28 00:00:00,Walt Disney Studios Motion Pictures
29,Shazam! Fury of the Gods,"4,071","$57,638,006",2023-03-17 00:00:00,Warner Bros.
30,Air,"3,507","$52,460,106",2023-04-05 00:00:00,'-
31,Jesus Revolution,"2,575","$52,102,987",2023-02-24 00:00:00,Lionsgate
32,No Hard Feelings,"3,208","$50,452,282",2023-06-23 00:00:00,Sony Pictures Entertainment (SPE)
33,Blue Beetle,"3,871","$46,566,539",2023-08-18 00:00:00,Warner Bros.
34,The Boogeyman,"3,205","$43,244,282",2023-06-02 00:00:00,Walt Disney Studios Motion Pictures
35,Talk to Me,"2,379","$41,066,389",2023-07-28 00:00:00,A24
36,80 for Brady,"3,939","$39,330,588",2023-02-03 00:00:00,Paramount Pictures
37,Knock at the Cabin,"3,657","$35,397,980",2023-02-03 00:00:00,Universal Pictures
38,Missing,"3,025","$32,502,025",2023-01-20 00:00:00,Sony Pictures Entertainment (SPE)
39,Plane,"3,060","$32,111,181",2023-01-13 00:00:00,Lionsgate
40,65,"3,405","$32,062,904",2023-03-10 00:00:00,Sony Pictures Entertainment (SPE)
41,Asteroid City,"1,901","$28,049,165",2023-06-16 00:00:00,Focus Features
42,Magic Mike's Last Dance,"3,034","$26,005,156",2023-02-10 00:00:00,Warner Bros.
43,"Are You There God? It's Me, Margaret.","3,343","$20,372,406",2023-04-28 00:00:00,Lionsgate
44,The Pope's Exorcist,"3,178","$20,009,380",2023-04-14 00:00:00,Screen Gems
45,Gran Turismo,"3,856","$18,541,753",2023-08-25 00:00:00,Sony Pictures Entertainment (SPE)
46,The Blackening,"1,775","$17,707,207",2023-06-16 00:00:00,Lionsgate
47,Book Club: The Next Chapter,"3,513","$17,556,340",2023-05-12 00:00:00,Focus Features
48,Pathaan,697,"$17,487,476",2023-01-25 00:00:00,Yash Raj Films USA Inc.
49,Black Panther: Wakanda Forever,"4,396","$453,829,060",2023-11-11 00:00:00,Walt Disney Studios Motion Pictures
50,Renfield,"3,378","$17,152,625",2023-04-14 00:00:00,Universal Pictures
51,The Covenant,"2,631","$16,938,039",2023-04-21 00:00:00,Metro-Goldwyn-Mayer (MGM)
52,Strays,"3,232","$16,840,900",2023-08-18 00:00:00,Universal Pictures
53,Champions,"3,039","$16,271,910",2023-03-10 00:00:00,Focus Features
54,"Ruby Gillman, Teenage Kraken","3,408","$15,753,600",2023-06-30 00:00:00,DreamWorks
55,Titanic25 Year Anniversary,"2,464","$15,033,795",2023-02-10 00:00:00,Paramount Pictures
56,The Last Voyage of the Demeter,"2,715","$13,309,285",2023-08-11 00:00:00,Universal Pictures
57,Joy Ride,"2,820","$12,897,789",2023-07-07 00:00:00,Lionsgate
58,The Whale,"1,721","$17,463,630",2023-12-09 00:00:00,A24
59,About My Father,"2,464","$12,089,391",2023-05-26 00:00:00,Lionsgate
60,His Only Son,"1,930","$12,084,084",2023-03-31 00:00:00,Angel Studios
61,Suzume,"2,170","$10,760,901",2023-04-14 00:00:00,Crunchyroll
62,Past Lives,906,"$10,724,951",2023-06-02 00:00:00,A24
63,The Machine,"2,409","$10,458,331",2023-05-26 00:00:00,Sony Pictures Entertainment (SPE)
64,Whitney Houston: I Wanna Dance with Somebody,"3,625","$23,708,080",2023-12-23 00:00:00,TriStar Pictures
65,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"1,774","$10,117,806",2023-03-03 00:00:00,Crunchyroll
66,House Party,"1,400","$9,002,247",2023-01-13 00:00:00,Warner Bros.
67,Everything Everywhere All at Once,"2,220","$77,191,785",2023-03-25 00:00:00,A24
68,Beau Is Afraid,"2,125","$8,176,562",2023-04-14 00:00:00,A24
69,Sisu,"1,006","$7,265,622",2023-04-28 00:00:00,Lionsgate
70,Star Wars: Episode VI - Return of the Jedi2023 Re-release,475,"$7,259,924",2023-04-28 00:00:00,'-
71,Operation Fortune: Ruse de Guerre,"2,168","$6,496,125",2023-03-03 00:00:00,Lionsgate
72,BTS: Yet to Come in Cinemas,"1,210","$8,093,270",2023-02-01 00:00:00,Trafalgar Releasing
73,Babylon,"3,351","$15,351,455",2023-12-23 00:00:00,Paramount Pictures
74,Love Again,"2,703","$6,230,837",2023-05-05 00:00:00,Screen Gems
75,The Fabelmans,"1,962","$17,348,945",2023-11-11 00:00:00,Universal Pictures
76,The Chosen Season 3 Finale,"1,979","$5,525,069",2023-02-02 00:00:00,Fathom Events
77,Nefarious,933,"$5,433,685",2023-04-14 00:00:00,Soli Deo Gloria Releasing
78,Big George Foreman,"3,054","$5,426,772",2023-04-28 00:00:00,Sony Pictures Entertainment (SPE)
79,Women Talking,707,"$5,456,531",2023-12-23 00:00:00,United Artists Releasing
80,Infinity Pool,"1,835","$5,078,400",2023-01-27 00:00:00,Neon
81,You Hurt My Feelings,912,"$4,830,788",2023-05-26 00:00:00,A24
82,Kandahar,"2,105","$4,813,132",2023-05-26 00:00:00,Open Road Films (II)
83,Hypnotic,"2,118","$4,500,169",2023-05-12 00:00:00,Ketchup Entertainment
84,Marlowe,"2,281","$4,350,243",2023-02-15 00:00:00,Open Road Films (II)
85,The Amazing Maurice,"1,717","$4,303,645",2023-02-03 00:00:00,Viva Pictures
86,Mummies,384,"$4,275,970",2023-02-24 00:00:00,Warner Bros.
87,Retribution,"1,750","$3,821,285",2023-08-25 00:00:00,Roadside Attractions
88,Ponniyin Selvan: Part Two,'-,"$3,813,000",2023-04-28 00:00:00,'-
89,Left Behind: Rise of the Antichrist,"1,407","$3,649,422",2023-01-26 00:00:00,Fathom Events
90,Theater Camp,555,"$3,644,801",2023-07-14 00:00:00,Searchlight Pictures
91,The Journey: A Music Special from Andrea Bocelli,"1,074","$3,574,915",2023-04-02 00:00:00,Fathom Events
92,Chevalier,"1,281","$3,541,159",2023-04-21 00:00:00,Walt Disney Studios Motion Pictures
93,Mafia Mamma,"2,002","$3,496,761",2023-04-14 00:00:00,Bleecker Street Media
94,The Wandering Earth II,172,"$5,023,132",2023-01-22 00:00:00,Well Go USA Entertainment
95,A Thousand and One,926,"$3,400,020",2023-03-31 00:00:00,Focus Features
96,Violent Night,"3,723","$50,057,405",2023-12-02 00:00:00,Universal Pictures
97,2023 Oscar Nominated Short Films: Live Action,357,"$3,025,631",2023-02-17 00:00:00,ShortsTV
98,Living,644,"$3,038,113",2023-12-23 00:00:00,Sony Pictures Classics
99,The Menu,"3,228","$38,501,125",2023-11-18 00:00:00,Searchlight Pictures
100,The Hill,"1,570","$2,515,612",2023-08-25 00:00:00,Briarcliff Entertainment
101,Tu Jhoothi Main Makkaar,400,"$2,503,604",2023-03-08 00:00:00,Yash Raj Films USA Inc.
102,Come Out in Jesus Name,"1,047","$2,500,574",2023-03-13 00:00:00,Fathom Events
103,A Good Person,687,"$2,210,465",2023-03-24 00:00:00,United Artists Releasing
104,Moving On,794,"$2,136,832",2023-03-17 00:00:00,Roadside Attractions
105,The Miracle Club,677,"$2,104,152",2023-07-14 00:00:00,Sony Pictures Entertainment (SPE)
106,Skinamarink,809,"$2,052,272",2023-01-13 00:00:00,IFC Films
107,Jurassic Park2023 Re-release (30th Anniversary),"1,224","$1,864,240",2023-08-25 00:00:00,Universal Pictures
108,Golda,883,"$1,856,809",2023-08-25 00:00:00,Bleecker Street Media
109,Somewhere in Queens,602,"$1,802,442",2023-04-21 00:00:00,Roadside Attractions
110,Jules,780,"$1,775,876",2023-08-11 00:00:00,Bleecker Street Media
111,Winnie the Pooh: Blood and Honey,"1,652","$1,750,639",2023-02-15 00:00:00,Fathom Events
112,Fear,974,"$2,090,261",2023-01-27 00:00:00,Hidden Empire Film Group (HEFG)
113,Lost in the Stars,'-,"$1,721,446",2023-07-07 00:00:00,CMC Pictures
114,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"1,473","$1,588,491",2023-01-20 00:00:00,Crunchyroll
115,The Banshees of Inisherin,"1,205","$10,582,266",2023-10-21 00:00:00,Searchlight Pictures
116,Polite Society,927,"$1,545,600",2023-04-28 00:00:00,Focus Features
117,The Quiet Girl,244,"$1,500,014",2023-02-24 00:00:00,Neon
118,BlackBerry,449,"$1,476,597",2023-05-12 00:00:00,IFC Films
119,Spirited Away2023 Re-release (Live on Stage),"1,046","$1,455,081",2023-04-23 00:00:00,Fathom Events
120,Oldboy2023 Re-release,250,"$1,443,314",2023-08-16 00:00:00,'-
121,Maybe I Do,465,"$1,293,722",2023-01-27 00:00:00,Vertical Entertainment
122,Billie Eilish Live at the O2,600,"$1,290,000",2023-01-27 00:00:00,Trafalgar Releasing
123,The First Slam Dunk,581,"$1,256,517",2023-07-28 00:00:00,GKIDS
124,Tár,"1,090","$6,773,650",2023-10-07 00:00:00,Focus Features
125,The Lost King,753,"$1,188,032",2023-03-24 00:00:00,IFC Films
126,The Lord of the Rings: The Return of the King20th Anniversary,"1,107","$1,176,085",2023-04-13 00:00:00,Fathom Events
127,Strange World,"4,174","$37,968,963",2023-11-23 00:00:00,Walt Disney Studios Motion Pictures
128,Close,233,"$1,100,113",2023-01-27 00:00:00,A24
129,Emily,579,"$1,097,067",2023-02-17 00:00:00,Bleecker Street Media
130,Knights of the Zodiac,588,"$1,090,155",2023-05-12 00:00:00,'-
131,Broker,271,"$1,046,899",2023-12-23 00:00:00,Neon
132,Showing Up,115,"$754,483",2023-04-07 00:00:00,A24
133,The Roundup: No Way Out,41,"$909,411",2023-06-02 00:00:00,Capelight Pictures
134,Inside,357,"$897,190",2023-03-17 00:00:00,Focus Features
135,Fool's Paradise,794,"$855,173",2023-05-12 00:00:00,Roadside Attractions
136,Paint,819,"$811,739",2023-04-07 00:00:00,IFC Films
137,Return to Seoul,103,"$798,774",2023-02-17 00:00:00,Sony Pictures Classics
138,Hidden Blade,62,"$803,189",2023-02-17 00:00:00,Well Go USA Entertainment
139,The Devil Conspiracy,925,"$765,218",2023-01-13 00:00:00,'-
140,Roll with It,725,"$757,981",2023-05-09 00:00:00,Fathom Events
141,How to Blow Up a Pipeline,530,"$750,010",2023-04-07 00:00:00,'-
142,Rally Road Racers,"1,228","$744,169",2023-05-12 00:00:00,Viva Pictures
143,It Ain't Over,128,"$705,355",2023-05-12 00:00:00,Sony Pictures Entertainment (SPE)
144,Devotion,"3,458","$20,511,938",2023-11-23 00:00:00,Columbia Pictures
145,Master Gardener,225,"$667,114",2023-05-19 00:00:00,Magnolia Pictures
146,Shortcomings,404,"$653,780",2023-08-04 00:00:00,Sony Pictures Classics
147,Corsage,317,"$705,767",2023-12-23 00:00:00,IFC Films
148,EO,80,"$1,068,782",2023-11-18 00:00:00,Sideshow Releasing
149,Shin Ultraman,"1,040","$601,490",2023-01-11 00:00:00,Fathom Events
150,The Thorn,834,"$577,004",2023-03-06 00:00:00,Fathom Events
151,The Way2023  Re-release,755,"$567,448",2023-05-16 00:00:00,Fathom Events
152,Of an Age,289,"$556,585",2023-02-17 00:00:00,Focus Features
153,Sweetwater,"1,204","$541,633",2023-04-14 00:00:00,Briarcliff Entertainment
154,Aftersun,97,"$1,658,790",2023-10-21 00:00:00,A24
155,Consecration,762,"$538,551",2023-02-10 00:00:00,IFC Films
156,Sanctuary,225,"$535,202",2023-05-19 00:00:00,'-
157,Bottoms,10,"$533,978",2023-08-25 00:00:00,Orion Pictures
158,Triangle of Sadness,610,"$4,608,096",2023-10-07 00:00:00,Neon
159,"Crouching Tiger, Hidden Dragon2023 Re-release",475,"$451,549",2023-02-17 00:00:00,Sony Pictures Classics
160,A Father's Heart,741,"$447,912",2023-05-01 00:00:00,Fathom Events
161,The Son,554,"$449,650",2023-01-20 00:00:00,Sony Pictures Classics
162,The Essential Church,301,"$412,550",2023-07-28 00:00:00,Atlas Distribution Company
163,Mending the Line,403,"$379,890",2023-06-09 00:00:00,Blue Fox Entertainment
164,CatVideoFest 2023,37,"$327,584",2023-08-04 00:00:00,Oscilloscope
165,Go West,38,"$340,017",2023-07-19 00:00:00,Purdie Distribution
166,Terrifier,853,"$339,946",2023-07-19 00:00:00,'-
167,Selfiee,308,"$335,775",2023-02-24 00:00:00,'-
168,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,34,"$335,417",2023-12-30 00:00:00,Sony Pictures Entertainment (SPE)
169,Wild Life,30,"$326,184",2023-04-14 00:00:00,Picturehouse
170,Children of the Corn,586,"$325,583",2023-03-03 00:00:00,'-
171,Waltair Veerayya,350,"$320,000",2023-01-13 00:00:00,'-
172,The Lesson,268,"$310,746",2023-07-07 00:00:00,'-
173,Psycho-Pass: Providence,419,"$309,757",2023-07-14 00:00:00,Crunchyroll
174,UFC 291: Poirier vs. Gaethje 2,347,"$308,825",2023-07-29 00:00:00,'-
175,Mirando Al Cielo,680,"$295,539",2023-04-18 00:00:00,Fathom Events
176,Joyland,38,"$302,550",2023-04-07 00:00:00,Oscilloscope
177,Passages,114,"$415,827",2023-08-04 00:00:00,MUBI
178,Southern Gospel,600,"$293,496",2023-03-10 00:00:00,'-
179,School of Magical Animals,301,"$288,414",2023-03-24 00:00:00,Blue Fox Entertainment
180,Dreamin' Wild,402,"$276,672",2023-08-04 00:00:00,Roadside Attractions
181,The Eight Mountains,51,"$302,456",2023-04-28 00:00:00,Variance Films
182,Every Body,255,"$273,860",2023-06-30 00:00:00,Focus Features
183,Empire of Light,436,"$1,177,577",2023-12-09 00:00:00,Searchlight Pictures
184,Born to Fly,74,"$277,011",2023-04-28 00:00:00,Well Go USA Entertainment
185,RRR Fan CelebRRRation2023 Re-release,283,"$256,566",2023-03-03 00:00:00,Variance Films
186,Malum,249,"$221,738",2023-03-31 00:00:00,'-
187,All the Beauty and the Bloodshed,48,"$500,082",2023-11-23 00:00:00,'-
188,Saint Omer,245,"$213,953",2023-01-13 00:00:00,Neon
189,Afire,44,"$204,620",2023-07-14 00:00:00,Sideshow Releasing
190,One Fine Morning,49,"$214,470",2023-01-27 00:00:00,Sony Pictures Entertainment (SPE)
191,Lourdes2022 Re-release,624,"$197,702",2023-02-08 00:00:00,Fathom Events
192,When You Finish Saving the World,403,"$196,920",2023-01-20 00:00:00,A24
193,Landscape with Invisible Hand,304,"$193,829",2023-08-18 00:00:00,'-
194,"Lyle, Lyle, Crocodile","4,350","$46,888,441",2023-10-07 00:00:00,Sony Pictures Entertainment (SPE)
195,The Conformist2023 Re-release,7,"$180,135",2023-01-06 00:00:00,Kino Lorber
196,Contempt4k Restoration - 60th Anniversary,8,"$173,816",2023-06-30 00:00:00,Rialto Pictures
197,The Wrath of Becky,274,"$168,109",2023-05-26 00:00:00,Quiver Distribution
198,The Starling Girl,114,"$161,290",2023-05-12 00:00:00,Bleecker Street Media
199,¡Que viva México!,90,"$161,222",2023-03-24 00:00:00,Sony Pictures Entertainment (SPE)
200,Enys Men,62,"$189,579",2023-03-31 00:00:00,'-
